Date, Open, High, Low, Close, Volume
09/06/24, 232.60, 233.60, 210.51, 210.73, 112177000
09/05/24, 223.49, 235.00, 222.25, 230.17, 119355000
09/04/24, 210.59, 222.22, 210.57, 219.41, 80651766
09/03/24, 215.26, 219.904, 209.64, 210.60, 76551800
08/30/24, 208.63, 214.5701, 207.03, 214.11, 63370609
08/29/24, 209.80, 214.89, 205.97, 206.28, 62308820
08/28/24, 209.72, 211.84, 202.59, 205.75, 64116352
08/27/24, 213.25, 215.66, 206.94, 209.21, 62821391
08/26/24, 218.75, 219.09, 211.01, 213.21, 59301191
08/23/24, 214.455, 221.48, 214.21, 220.32, 81525211
08/22/24, 223.82, 224.80, 210.32, 210.66, 79514477
08/21/24, 222.67, 224.6594, 218.86, 223.27, 70145961
08/20/24, 224.88, 228.22, 219.56, 221.10, 74001188
08/19/24, 217.07, 222.98, 214.09, 222.72, 76435219
08/16/24, 211.15, 219.80, 210.80, 216.12, 88765117
08/15/24, 205.02, 215.88, 204.82, 214.14, 89848531
08/14/24, 207.39, 208.44, 198.75, 201.38, 70250008
08/13/24, 198.47, 208.49, 197.06, 207.83, 76247391
08/12/24, 199.02, 199.26, 194.67, 197.49, 64044898
08/09/24, 197.05, 200.88, 195.11, 200.00, 58648273
08/08/24, 195.70, 200.70, 192.04, 198.84, 65033871
08/07/24, 200.77, 203.49, 191.48, 191.76, 71159773
08/06/24, 200.75, 202.90, 192.67, 200.64, 73783938
08/05/24, 185.22, 203.8799, 182.00, 198.88, 100308797
08/02/24, 214.88, 216.13, 205.78, 207.67, 82880117
08/01/24, 227.69, 231.867, 214.3328, 216.86, 83861906
07/31/24, 227.90, 234.68, 226.7875, 232.07, 67497008
07/30/24, 232.25, 232.41, 220.00, 222.62, 100560305
07/29/24, 224.90, 234.27, 224.70, 232.10, 129201797
07/26/24, 221.19, 222.2799, 215.33, 219.80, 94604148
07/25/24, 216.80, 226.00, 216.231, 220.25, 100636492
07/24/24, 225.42, 225.99, 214.71, 215.99, 167942891
07/23/24, 253.60, 255.7594, 245.63, 246.38, 111928203
07/22/24, 244.21, 253.21, 243.75, 251.51, 101225398
07/19/24, 247.79, 249.44, 236.83, 239.20, 87403906
07/18/24, 251.09, 257.14, 247.20, 249.23, 110869000
07/17/24, 252.73, 258.47, 246.182, 248.50, 115584797
07/16/24, 255.31, 258.62, 245.8001, 256.56, 126332492
07/15/24, 255.97, 265.60, 251.73, 252.64, 146912891
07/12/24, 235.80, 251.84, 233.0912, 248.23, 155955812
07/11/24, 263.30, 271.00, 239.65, 241.03, 221707297
07/10/24, 262.80, 267.59, 257.86, 263.26, 128519398
07/09/24, 251.00, 265.61, 250.30, 262.33, 160742500
07/08/24, 247.71, 259.439, 244.57, 252.94, 157219594
07/05/24, 249.81, 252.37, 242.4601, 251.52, 154501203
07/03/24, 234.56, 248.35, 234.25, 246.39, 166561500
07/02/24, 218.89, 231.30, 218.06, 231.26, 205047906
07/01/24, 201.02, 213.23, 200.85, 209.86, 135691391
06/28/24, 199.55, 203.20, 195.26, 197.88, 95438070
06/27/24, 195.17, 198.72, 194.05, 197.42, 72746523
06/26/24, 186.54, 197.755, 186.36, 196.37, 95737070
06/25/24, 184.40, 187.97, 182.01, 187.35, 63678273
06/24/24, 184.97, 188.80, 182.55, 182.58, 61992070
06/21/24, 182.30, 183.95, 180.69, 183.01, 63029480
