Date, Open, High, Low, Close
09/06/24, 40756.81, 41009.39, 40297.33, 40345.41
09/05/24, 41056.33, 41084.78, 40519.08, 40755.75
09/04/24, 40872.06, 41172.59, 40840.89, 40974.97
09/03/24, 41489.67, 41489.67, 40778.09, 40936.93
08/30/24, 41366.16, 41585.21, 41145.85, 41563.08
08/29/24, 41345.50, 41577.97, 41086.81, 41335.05
08/28/24, 41250.17, 41351.11, 40842.29, 41091.42
08/27/24, 41186.28, 41271.75, 41109.42, 41250.50
08/26/24, 41200.84, 41420.05, 41140.23, 41240.52
08/23/24, 40879.12, 41207.92, 40842.96, 41175.08
08/22/24, 40932.23, 41026.64, 40584.47, 40712.78
08/21/24, 40881.03, 40974.40, 40738.43, 40890.49
08/20/24, 40874.52, 40909.38, 40756.65, 40834.97
08/19/24, 40670.83, 40907.32, 40670.83, 40896.53
08/16/24, 40528.86, 40726.03, 40453.58, 40659.76
08/15/24, 40295.74, 40590.51, 40295.74, 40563.06
08/14/24, 39800.59, 40068.75, 39737.20, 40008.39
08/13/24, 39445.27, 39792.80, 39392.41, 39765.64
08/12/24, 39556.01, 39587.06, 39251.72, 39357.01
08/09/24, 39408.06, 39628.66, 39230.43, 39497.54
08/08/24, 38940.38, 39508.40, 38922.79, 39446.49
08/07/24, 39230.09, 39477.96, 38731.51, 38763.45
08/06/24, 38736.22, 39449.53, 38638.30, 38997.66
08/05/24, 39056.19, 39056.19, 38499.27, 38703.27
08/02/24, 40075.33, 40075.33, 39358.68, 39737.26
08/01/24, 40916.96, 41096.66, 40098.57, 40347.97
07/31/24, 40768.88, 41198.63, 40655.89, 40842.79
07/30/24, 40622.13, 40866.25, 40529.10, 40743.33
07/29/24, 40665.71, 40682.49, 40388.83, 40539.93
07/26/24, 40140.86, 40753.83, 40140.86, 40589.34
07/25/24, 39828.63, 40438.82, 39817.50, 39935.07
07/24/24, 40210.63, 40258.44, 39807.45, 39853.87
07/23/24, 40443.73, 40527.89, 40319.70, 40358.09
07/22/24, 40414.49, 40472.53, 40222.77, 40415.44
07/19/24, 40592.35, 40626.16, 40203.27, 40287.53
07/18/24, 41156.56, 41376.00, 40597.50, 40665.02
07/17/24, 40862.57, 41221.98, 40849.71, 41198.08
07/16/24, 40263.78, 40988.81, 40263.78, 40954.48
07/15/24, 40138.40, 40351.10, 40136.10, 40211.72
07/12/24, 39783.28, 40257.24, 39783.28, 40000.90
07/11/24, 39695.18, 39875.60, 39623.12, 39753.75
07/10/24, 39272.45, 39736.20, 39256.72, 39721.36
07/09/24, 39357.37, 39492.28, 39146.60, 39291.97
07/08/24, 39391.98, 39654.96, 39278.43, 39344.79
07/05/24, 39313.40, 39399.62, 39168.70, 39375.87
07/03/24, 39358.95, 39411.17, 39230.86, 39308.00
07/02/24, 39108.25, 39340.49, 39085.69, 39331.85
07/01/24, 39186.20, 39438.36, 39037.94, 39169.52
06/28/24, 39092.39, 39443.60, 38937.15, 39118.86
06/27/24, 39107.10, 39250.69, 39026.75, 39164.06
06/26/24, 39063.15, 39183.74, 38908.99, 39127.80
06/25/24, 39398.79, 39423.26, 38997.23, 39112.16
06/24/24, 39184.49, 39571.23, 39184.49, 39411.21
06/21/24, 39208.51, 39257.18, 39061.67, 39150.33
06/20/24, 38804.73, 39232.50, 38778.46, 39134.76
06/18/24, 38779.12, 38936.93, 38727.67, 38834.86
06/17/24, 38565.18, 38839.88, 38431.95, 38778.10
06/14/24, 38528.39, 38595.24, 38305.85, 38589.16
06/13/24, 38677.12, 38712.21, 38407.70, 38647.10
06/12/24, 38950.65, 39120.26, 38621.45, 38712.21
06/11/24, 38795.71, 38795.71, 38446.24, 38747.42
06/10/24, 38784.90, 38877.86, 38665.45, 38868.04
