Date,Close/Last,Volume,Open,High,Low
09/06/2024,$665.77,2991265,$681.86,$683.1518,$662.34
09/05/2024,$683.62,1810072,$673.14,$687.31,$671.86
09/04/2024,$679.68,1785337,$673.31,$684.65,$673.06
09/03/2024,$675.32,3160964,$700.10,$703.86,$671.01
08/30/2024,$701.35,3266723,$700.36,$701.86,$688.16
08/29/2024,$692.48,2186974,$690.00,$699.80,$686.07
08/28/2024,$683.84,2430583,$695.83,$696.67,$677.10
08/27/2024,$695.72,3164878,$688.53,$707.89,$686.92
08/26/2024,$688.44,1354154,$687.26,$690.59,$681.6376
08/23/2024,$686.73,2354450,$694.13,$696.07,$678.63
08/22/2024,$688.96,2729389,$691.00,$701.50,$686.24
08/21/2024,$697.12,2235343,$697.00,$701.00,$691.38
08/20/2024,$698.54,4813118,$688.86,$711.33,$688.245
08/19/2024,$688.53,3016227,$674.07,$688.84,$672.91
08/16/2024,$674.07,3511014,$669.43,$680.23,$665.36
08/15/2024,$663.22,3210173,$668.49,$673.19,$659.80
08/14/2024,$661.68,4014344,$648.70,$663.57,$648.70
08/13/2024,$648.02,2639571,$638.56,$650.97,$635.50
08/12/2024,$633.14,2331712,$631.00,$639.00,$627.07
08/09/2024,$633.94,1980836,$622.99,$636.62,$622.99
08/08/2024,$630.35,3283542,$621.99,$632.29,$616.02
08/07/2024,$611.48,3187791,$616.065,$632.00,$610.64
